task,coder3,coder2,coder1
"los angeles county department of public works to modify storm drain outlet on beach, abandon headwall, replace 8 feet of pipe with 66\ reinforced concrete pipe , encase old & new pipe in concrete, and move rocks of existing breakwater, at ocean front walk & market street, venice, los angeles, los angeles county.  """,7,4,7
"crescent city harbor district for storm damage repairs at three locations including repairs to parking lot, launch ramp jetty, and inner harbor breakwater in crescent city harbor area, crescent city, del norte county.  ",11,7,7
"jim & linda ritch to demolish single-family home, and construct 2-story 4,733 sq.ft. single-family home with two attached garages , on lot next to coastal canyon, at 1708 calle de los alamos, san clemente, orange county.  ",1,1,1
"california department of transportation to construct new, approximately 96 ft. wide, 4- 12 ft. wide lanes, and shoulders varying from 2 to 10 ft. wide, bridge approach road, by realigning existing road  to east, realigned road will overlap portions of existing roadway, and new roadway will be partly elevated and extend approximately 1,800 ft. in length from city of los angeles boundary line, located approximately 240 ft. north of cerritos channel to approximately pier a west crossing, wilmington, city of los angeles, los angeles county. .  ",11,11,11
"joseph & cheryl azoulay for 3,200 sq.ft. 35-ft-high single-family home, 2-car garage, septic system, 300 cu.yds. of grading, removal of three oak trees and encroachment into protected zone of eight oak trees, on 6,000 sq.ft. lot, in malibu bowl small lot subdivision, at 26247 fairside road, santa monica mountains, los angeles county.  ",1,1,1
"city of los angeles bureau of engineering to install 2,500-ft-long 48-in-diameter reinforced concrete pipe storm drain, with 10 catch basins in existing road right-of-way, realign southeast corner of paseo del mar & western avenue and construct 134-ft-long 5-ft-high concrete block retaining wall, at western avenue, between 25th street & paseo del mar, san pedro, los angeles, los angeles county.  ",7,7,7
"andrew to divide one lot into two lots to separate single-family home and 4-unit apartment building, at 18101 and 18103 coastline drive, malibu, los angeles county.  ",10,10,10
"ted shelton & associates, l l c to demolish one-story, 1,728 sq. ft. commercial structure on 8,208 sq. ft. beachfront site , and construct three-story , 35-ft. high, 10,815 sq. ft. mixed-use structure containing five residential condominium units, 1, 000 sq. ft. ground-floor retail-commercial space, and 19 parking spaces, at 305-309 ocean front walk, venice, los angeles, los angeles county.  ",2,2,2
"check investments to add two-stories 2,827.5 sq.ft., with tucked under garage, to existing one-story 835 sq.ft. duplex, at 1267 palisades beach road aka pacific coast highway, santa monica, los angeles county.   ",1,2,1
"city of los angeles/city engineer to upgrade and rehabilitate mechanical and electrical equipment of pumping plant, and replace 900 ft. of 8-inch force main along pershing drive, at 346 culver blvd. to 100 ft. north of rees street, playa del rey, los angeles, los angeles county.  ",8,4,8
"jake & sally reason to convert 477 sq.ft. basement to laundry & den, and redesign and add 1,145 sq.ft. to 1,826 sq.ft. single-family home, at 561 north creek trail in topanga, los angeles county.  ",1,1,1
"mr. & mrs. james cefalia to demolish single family home and construct new 4,208 sq.ft., 26-ft. high, 2-story single family home with attached 770 sq.ft. garage, 150 sq.ft. balcony deck, hardscape improvements, no landscaping and minimal grading for site preparation on 3,735 sq.ft. beachfront lot in newport beach, orange county.  ",1,1,1
"NA4-06-163  malibu valley farms, inc. granted permit with conditions for after-the-fact approval of equestrian facility used for horse breeding, raising, training, stabling, exercising, boarding and rehabilitation, including as-built riding arenas, fencing, dirt access road with 2 at-grade crossings through stokes creek, corrals, paddock, mare motel, shelters, covered pipe barns, tack rooms, barn, manure storage areas, and parking lot. the project also includes addition of vegetative swales, bioretention basin with riprap pad, and 0.5-ac. riparian restoration, and removal of various pipe and covered corrals, cross-tie areas, storage containers, and tack rooms, located at 2200 stokes canyon road, santa monica mountains, los angeles county.  ",2,2,2
"michael & mari johnson to remodel single-family home & pool cabana; and construct detached 884 sq.ft. garage with 988 sq.ft. basement recreation room, sports court with 400 sq.ft. deck, septic system, pool & spa, pool equipment room and garden walls, at 24840 pacific coast highway, malibu, los angeles county.  ",1,1,1
"city of carpinteria for annual construction and removal of 1,440-ft-long 12-ft-high sand berm on carpinteria city beach involving 26,000 cu.yds. of grading, carpinteria, santa barbara county.  ",7,7,7
"isao & midori nakatani and rios drive associates to demolish existing greenhouses & storage sheds, divide 9.4 acre site into 24 lots  and construct 24 single-family homes , with 26,000 cu.yds. of balanced grading, at northeast corner of north rios avenue & patty hill drive, solana beach, san diego county.  ",10,1,1
"city of seal beach, bay city partners & marina beach house to subdivide and develop vacant 10.9 acre waterfront property  including public trust lands with 4.5 acre 32-lot residential development and 6.4 acre passive open space area, located at southwest corner of 1st st. and marina dr., seal beach, orange county.  ",10,10,10
"newport beach public works department to widen newport blvd.  between hospital road and finley avenue reconstruct newport blvd. & coast highway  interchange, widen newport channel bridge, and add or improve sidewalks & bicycle paths, raised median, retaining walls & soundwalls, and contouring & landscaping, at old newport blvd.  & pacific coast highway, newport beach, orange county.  ",11,11,11
"jensen/fey architecture & planning to renovate the hyatt islandia regency hotel, including conversion of fitness area and meeting room to three guestrooms, conversion of portions of existing restaurant/lounge to spa salon, conversion of meeting room to fitness room, demolish two meeting rooms and one guestroom, and construct 18-ft. high water slide structure in existing courtyard/pool area, at 1441 quivira road, san diego, san diego county  ",2,2,2
"robert & nancy conger to grade 43.7 cu.yds., remodel and construct 591 sq.ft. 12½-ft-high 1st-story addition behind existing 3,152 sq.ft. 2-story single-family home, three retaining walls, 404 sq.ft. patio with spa & stairs, and 246 sq.ft. 12-in-high cantilevered wood deck over rear yard of 23,400 sq.ft. blufftop lot, at 501 paseo de la playa, torrance, los angeles county.   ",1,1,1
"mfs globenet corp. and mci worldcom network services inc. to bury two transoceanic fiber optic cables in state and federal waters offshore of montana de oro state park, san luis obispo county.   ",11,11,11
"NA4-97-103-a2  rust trust granted permit amendment with conditions to demolish 400 sq.ft. cabana, patios, retaining walls, stairs, cistern, bomb shelter, and underground storage areas, construct 400 sq.ft. cabana, remodel 1,230 sq.ft. patio, and restore 1,360 sq.ft. area to native bluff, with 30 cu.yds. of grading on bluff face, at 33528 pacific coast highway, city of malibu, los angeles county.  ",4,1,1
william harris to remove and replace existing u,3,3,3
"gold's gym of south bay to convert 10,500 sq.ft. of parking space on third level  of existing 200,448 sq.ft. 4-level garage to expand existing 18,500 sq.ft. 1-level physical fitness facility , on site with 5-story hotel, on triangular 5.35-acre lot, at 200 north harbor drive, redondo beach, los angeles county.  ",2,2,2
"john & valerie zagara to demolish home and construct 4,424 sq. ft., 2-story single-family home with 1,095 sq. ft., basement and 505 sq. ft., garage on a 5,638 sq. ft., bluff top lot, at 282 neptune avenue, encinitas, san diego county.  ",1,1,1
brian hoyle to install gangway gangway lobe with one new 12,3,3,3
"robert hurley to demolish single-family home, and construct ocean front 24-ft-high 2,685 sq.ft. single-family home  and attached 430 sq.ft. garage, at 6706 west oceanfront, newport beach, orange county.  ",1,1,1
"venice development to demolish two detached 482 sq.ft. single-family homes, and construct 30-ft-high  3,100 sq.ft. single-family home with attached 2-car garage on canal-front lot, at 414 linnie canal, venice, los angeles, los angeles county.  ",1,1,1
"city of long beach to improve 2.7 acre fieldstone park including creation & restoration of 1.2 acres of subtidal & intertidal habitat areas, public walkways & 2 900 sq.ft. observation platforms, 132' x 12' public boat dock, 481.5 -ft-long floating breakwater, and landscaping of 1.5 acre upland site with native plants, at 5751 boat house lane, long beach, los angeles county.  ",11,11,11
"douglas & candida stoutenborough for 2-story 3,986 sq.ft. single-family home, attached 2-car garage, pool & spa, at 24985 mulholland highway, calabasas, los angeles county.  ",1,1,1
"eric & greta miller for 2-story 3,070 sq.ft. single-family home, detached 499 sq.ft. garage, and removal of 8 monterey pine trees, at 130 asilomar, pacific grove, monterey county.  ",1,1,1
